,Unnamed: 0,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수,EPS,PER,BPS,PBR,ROA,주당배당금,배당수익률,종목수익률,Unnamed: 22,Unnamed: 23,종목명.1
631,32640,32640,LG유플러스,"9,320",-50,-0.5,"9,370","9,480","9,150","2,673,819","24,882,055,250","4,069,217,884,520",0.31,"436,611,361",523,17.82,"9,567",0.97,0.054667085,150,1.61,-0.456559767,,,
632,32830,32830,삼성생명,"112,000",-500,-0.4,"111,500","113,500","110,500","553,239","62,034,623,500","22,400,000,000,000",1.7,"200,000,000","7,062",15.86,"111,025",1.01,0.063607296,"1,800",1.61,2.544303797,,,
637,33530,33530,세종공업,"11,700",250,2.2,"11,450","11,700","11,200","81,687","937,245,650","234,636,831,000",0.02,"20,054,430","1,136",10.3,"18,785",0.62,0.060473782,150,1.28,-0.898701299,,,
639,33780,33780,KT&G,"96,400","1,300",1.4,"95,000","97,800","94,700","351,437","33,941,519,406","13,234,996,710,800",1,"137,292,497","6,558",14.7,"41,012",2.35,0.159904418,"3,400",3.53,65.48275862,,,
640,33920,33920,무학,"46,600","2,300",5.2,"43,950","47,400","43,800","164,573","7,596,601,300","1,309,460,000,000",0.1,"28,100,000","3,052",15.27,"15,093",3.09,0.202212946,0,0,2.426470588,,,
641,34020,34020,두산중공업,"27,250",-300,-1.1,"27,350","27,700","26,950","1,104,899","30,071,972,300","2,892,812,476,000",0.22,"106,158,256",-,-,"39,036",0.7,0,750,2.75,4.482897384,,,
642,34120,34120,SBS,"41,000",-500,-1.2,"41,100","41,950","40,050","64,328","2,625,858,350","748,355,862,000",0.06,"18,252,582",-,-,"29,596",1.39,0,0,0,2.534482759,,,
643,34220,34220,LG디스플레이,"29,250",-800,-2.7,"29,750","29,950","29,100","2,581,944","75,813,562,700","10,466,109,225,000",0.79,"357,815,700","2,527",11.57,"31,948",0.92,0.079097283,500,1.71,-0.745652174,,,
650,35250,35250,강원랜드,"40,300",900,2.3,"39,100","41,150","39,100","588,626","23,726,310,250","8,621,802,150,000",0.65,"213,940,500","1,772",22.74,"12,644",3.19,0.140145524,850,2.11,-0.484654731,,,
651,35420,35420,NAVER,"609,000","4,000",0.7,"604,000","629,000","604,000","156,606","96,417,581,000","20,074,271,511,000",1.52,"32,962,679","15,277",39.86,"54,486",11.18,0.280383952,782,0.13,15.13245033,,,
653,36460,36460,한국가스공사,"52,000",600,1.2,"51,800","52,000","50,600","307,540","15,851,247,700","4,800,276,000,000",0.36,"92,313,000","5,091",10.21,"105,341",0.49,0.048328761,250,0.48,0.793103448,,,
655,36570,36570,엔씨소프트,"197,000","2,000",1,"194,000","199,500","193,000","150,589","29,523,806,000","4,320,017,334,000",0.33,"21,929,022","11,520",17.1,"62,045",3.18,0.18567169,"3,430",1.74,5.76975945,,,
