,종목코드,종목명,시장구분,산업분류,현재가.종가.,전일대비,시가총액.원.,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,factor,1y_수익률
1035,214430,아이쓰리시스템,코스닥,일반전기전자,16200,-550,"115,129,512,000",16200,"1,408",11.51,"9,961",1.63,270,1.67,,-7.143%
1036,103590,일진전기,코스피,전기전자,3100,-75,"114,949,209,000",3100,-,-,"8,099",0.38,0,0,,-4.314%
1037,241690,유니테크노,코스닥,운송장비·부품,9630,-110,"114,862,017,600",9630,469,20.53,"5,274",1.83,0,0,,-40.979%
1038,011320,유니크,코스닥,운송장비·부품,5940,-140,"114,764,928,300",5940,126,47.14,"4,640",1.28,0,0,value,57.543%
1039,079370,제우스,코스닥,기계·장비,11050,-200,"114,743,200,000",11050,"2,990",3.7,"20,224",0.55,300,2.71,,-18.147%
1040,017180,명문제약,코스피,의약품,4675,-170,"114,724,500,000",4675,41,114.02,"3,654",1.28,0,0,,-13.727%
1041,117670,알파홀딩스,코스닥,IT H/W,7880,-270,"114,655,237,160",7880,-,-,"3,650",2.16,0,0,,-39.316%
1042,035000,지투알,코스피,서비스업,6920,-30,"114,646,470,280",6920,"1,129",6.13,"10,167",0.68,250,3.61,,-2.979%
1043,014580,백광소재,코스피,비금속광물,4150,-280,"114,469,865,000",4150,142,29.23,"4,734",0.88,100,2.41,,62.813%
1044,002700,신일산업,코스피,유통업,1610,-35,"114,386,508,810",1610,166,9.7,938,1.72,25,1.55,,27.016%
1045,290740,액트로,코스닥,IT H/W,11400,-700,"114,342,125,400",11400,"1,656",6.88,"6,361",1.79,400,3.51,roe,89.962%
1046,288620,에스퓨얼셀,코스닥,일반전기전자,19800,-400,"113,737,456,800",19800,325,60.92,"5,246",3.77,50,0.25,,-20.168%
1047,033100,제룡전기,코스닥,IT H/W,7080,-50,"113,721,855,720",7080,182,38.9,"3,192",2.22,50,0.71,,-11.700%
1048,035620,바른손이앤에이,코스닥,IT S/W & SVC,1610,-110,"113,685,767,580",1610,"1,253",1.28,"1,315",1.22,0,0,roe,5.755%
1049,042040,케이피엠테크,코스닥,화학,1205,-25,"113,191,079,730",1205,411,2.93,"1,432",0.84,0,0,roe,-2.869%
1050,217480,에스디생명공학,코스닥,화학,5040,-60,"112,971,932,640",5040,401,12.57,"4,977",1.01,0,0,,-48.304%
1051,015710,코콤,코스닥,IT H/W,6440,-140,"112,896,420,000",6440,836,7.7,"6,451",1,195,3.03,,2.791%
1052,019550,SBI인베스트먼트,코스닥,금융,696,-23,"112,798,336,200",696,16,43.5,514,1.35,0,0,,-6.334%
1053,290380,대유,코스닥,화학,12450,-700,"112,702,380,000",12450,838,14.86,"6,724",1.85,220,1.77,,-26.525%
1054,034300,신세계건설,코스피,건설업,28150,50,"112,600,000,000",28150,"10,769",2.61,"48,912",0.58,750,2.66,,6.693%
1055,047770,코데즈컴바인,코스닥,섬유·의류,2975,-5,"112,581,740,950",2975,92,32.34,918,3.24,0,0,mom,2.257%
1056,109960,에이프로젠 H&G,코스닥,유통,630,-42,"112,577,986,710",630,71,8.87,"1,217",0.52,0,0,,-35.435%
1057,009730,코센,코스닥,금속,1600,0,"112,449,190,400",1600,-,-,531,3.01,0,0,,56.965%
1058,069920,아이에스이커머스,코스닥,유통,4395,0,"112,402,489,785",4395,-,-,"2,446",1.8,0,0,,7.598%
1059,056080,유진로봇,코스닥,기계·장비,2995,-65,"112,348,895,240",2995,-,-,"1,867",1.6,0,0,,-24.684%
1060,060590,씨티씨바이오,코스닥,유통,5800,-200,"112,001,027,600",5800,-,-,"4,499",1.29,0,0,,-37.099%
1061,089230,THE E&M,코스닥,IT S/W & SVC,980,-20,"111,852,566,560",980,199,4.92,277,3.54,0,0,,35.333%
1062,141000,비아트론,코스닥,IT H/W,9230,-270,"111,818,773,300",9230,"2,021",4.57,"10,669",0.87,100,1.08,,-10.000%
1063,025620,제이준코스메틱,코스피,화학,4210,-215,"111,666,814,640",4210,-,-,"4,764",0.88,0,0,,-66.732%
1064,063440,SM Life Design,코스닥,출판·매체복제,2465,-215,"110,996,864,610",2465,-,-,"1,135",2.17,0,0,,53.074%
1065,035610,솔본,코스닥,기타서비스,4050,-110,"110,751,287,850",4050,434,9.33,"5,074",0.8,0,0,,-19.700%
1066,101160,월덱스,코스닥,IT H/W,6700,-280,"110,623,653,100",6700,"1,064",6.3,"4,308",1.56,50,0.75,,41.423%
1067,227840,현대코퍼레이션홀딩스,코스피,유통업,12150,-250,"110,575,157,400",12150,513,23.68,"18,415",0.66,500,4.12,,-34.239%
1068,034940,조아제약,코스닥,제약,3905,-115,"110,551,452,055",3905,23,169.78,"1,906",2.05,0,0,,-18.427%
1069,001340,백광산업,코스피,화학,2460,-15,"110,499,281,220",2460,548,4.49,"3,460",0.71,50,2.03,,-0.617%
1070,053300,한국정보인증,코스닥,IT S/W & SVC,3540,-70,"110,324,100,000",3540,252,14.05,"2,565",1.38,80,2.26,,-2.019%
1071,114450,KPX생명과학,코스닥,제약,7340,-210,"110,100,000,000",7340,-,-,"3,941",1.86,0,0,,60.742%
1072,003100,선광,코스닥,운송,16650,-50,"109,890,000,000",16650,"1,645",10.12,"45,898",0.36,400,2.4,,-3.235%
1073,004840,DRB동일,코스피,금융업,5500,-230,"109,615,000,000",5500,307,17.92,"17,183",0.32,110,2,,-16.743%
1074,080220,제주반도체,코스닥,IT H/W,3820,160,"109,376,203,480",3820,383,9.97,"2,630",1.45,0,0,,-1.793%
1075,210540,디와이파워,코스피,기계,9900,-250,"109,312,909,200",9900,"2,311",4.28,"13,601",0.73,200,2.02,,-22.560%
1076,104460,동양피엔에프,코스닥,기계·장비,10200,-650,"109,278,975,000",10200,"1,056",9.66,"4,563",2.24,150,1.47,,170.619%
1077,047400,유니온머티리얼,코스피,비금속광물,2600,90,"109,200,000,000",2600,-,-,"1,863",1.4,35,1.35,,3.782%
1078,038680,에스넷,코스닥,IT S/W & SVC,6790,-160,"109,150,709,850",6790,300,22.63,"4,302",1.58,100,1.47,,72.105%
1079,089140,넥스턴,코스닥,비금속,9210,-370,"109,106,449,200",9210,519,17.75,"8,063",1.14,100,1.09,,-20.000%
1080,016880,웅진,코스피,금융업,1470,-70,"109,025,001,960",1470,-,-,"3,194",0.46,0,0,,-35.402%
1081,010960,삼호개발,코스피,건설업,4360,-170,"109,000,000,000",4360,855,5.1,"7,189",0.61,160,3.67,,-1.348%
1082,120240,대정화금,코스닥,화학,15300,-200,"108,635,982,300",15300,"1,501",10.19,"16,125",0.95,300,1.96,mom,6.849%
1083,101330,모베이스,코스닥,IT H/W,4525,-185,"108,410,800,700",4525,887,5.1,"9,374",0.48,100,2.21,,33.638%
1084,131760,파인텍,코스닥,IT H/W,2525,370,"108,376,436,525",2525,-,-,"1,527",1.65,0,0,,72.891%
1085,022220,정산애강,코스닥,화학,2085,-55,"107,991,697,215",2085,145,14.38,"1,383",1.51,0,0,,7.772%
1086,174880,장원테크,코스닥,IT H/W,3350,220,"107,967,180,150",3350,318,10.53,"2,182",1.54,0,0,,66.422%
1087,058430,포스코강판,코스피,철강금속,17950,-150,"107,700,000,000",17950,"1,891",9.49,"36,515",0.49,500,2.79,,-12.315%
1088,092440,기신정기,코스피,기계,3685,-55,"107,602,000,000",3685,516,7.14,"8,001",0.46,150,4.07,,6.921%
1089,053280,예스24,코스닥,IT S/W & SVC,6250,80,"107,500,000,000",6250,-,-,"3,901",1.6,120,1.92,,41.046%
1090,090710,휴림로봇,코스닥,기계·장비,1310,5,"107,402,246,880",1310,-,-,364,3.6,0,0,,18.396%
1091,016090,대현,코스피,섬유의복,2425,-15,"107,384,601,750",2425,338,7.17,"4,192",0.58,80,3.3,,17.464%
